"Графический планшет XP-Pen Star G430S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 4""х3"", Чёрный"/4803 Сом/"/images/stories/virtuemart/product/1_3541_7900.jpg"
"Графический планшет XP-Pen Deco L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/11879 Сом/"/images/stories/virtuemart/product/1_3235_1392.jpg"
"Графический планшет Huion HS610, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254*158,8 мм. (10""x6,25""), Чёрный"/12217 Сом/"/images/stories/virtuemart/product/1_3621.jpg"
Цифровой графический планшет Wacom Intuos Small CTL4100WLE0, A6, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/13068 Сом/"/images/stories/virtuemart/product/1_3142.jpg"
"Графический планшет Huion H320M, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 279.4 х 174.6 мм. (10,2""x6,2""), Чёрный"/14664 Сом/"/images/yandex.png"
"Графический планшет Huion H1161, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB и USB-C, Рабочая область 279.4*174.6 мм. (11""х 6.875""), Чёрный"/14841 Сом/"/images/yandex.png"
Графический планшет Wacom Intuos Small Bluetooth (CTL-4100WLK-N), Разрешение 2540 lpi, Чувствительность к нажатию 4096, 4 программируемые клавиши, 2 клавиши на пере, Размер планшета 200*160*8,8 мм, Чёрный/14850 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Deco LW BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/15408 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLE-N, A5, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/15642 Сом/"/images/stories/virtuemart/product/1-desktop-nnctv8b_6004.jpg"
Графический планшет XP-Pen Deco Pro Small, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 230*130 мм., Серый/15647 Сом/"/images/stories/virtuemart/product/1_8217_5896.jpg"
"Графический планшет Huion HS611, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-С, Рабочая область 258,4*161,5 мм. (10,1""x6,35""), Серый"/16010 Сом/"/images/yandex.png"
Графический планшет XP-Pen Deco Pro Medium, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB Type-C, Рабочая область 279*157 мм., Серый/17775 Сом/"/images/stories/virtuemart/product/1_1110.jpg"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLK0, A5, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/18315 Сом/"/images/stories/virtuemart/product/1_4353.jpg"
"Графический планшет Huion Q11K V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 279,4*174,6 мм. (11""х6,875""), Чёрный"/22954 Сом/"/images/yandex.png"
"Графический планшет Huion WH1409 V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 350*238 мм. (13.8""х8.6""), Чёрный"/28214 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Star G430S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 4""х3"", Чёрный"/4803 Сом/"/images/stories/virtuemart/product/1_3541_7900.jpg"
"Графический планшет Huion H420, Разрешение 4000 lpi, Чувствительность к нажатию 2048, Интерфейс USB, Рабочая область 106*64,6 мм. (4,17""х2,23""), Чёрный"/5820 Сом/"/images/stories/virtuemart/product/1_1821_1315.jpg"
"Графический планшет XP-Pen Deco Fun S BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 6.3""х4"", Чёрный"/6332 Сом/"/images/stories/virtuemart/product/1_2085_8625.jpg"
"Цифровой графический планшет WACOM One by Small CTL472N, A6, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/7020 Сом/"/images/stories/virtuemart/product/1_8493_8870.jpg"
"Графический планшет XP-Pen Star G640S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 6""х3,75"", Чёрный"/7377 Сом/"/images/stories/virtuemart/product/1_6871.jpg"
"Графический планшет XP-Pen Deco Fun L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6.27"", Чёрный"/8366 Сом/"/images/yandex.png"
"Графический планшет Huion H950P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 221*138 мм. (8,7""х5,4""), Чёрный"/8750 Сом/"/images/stories/virtuemart/product/29075_1_8533.jpg"
"Графический планшет Huion HS64, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 160 x 102 мм. (6.3""х 4""), Чёрный"/8956 Сом/"/images/stories/virtuemart/product/1_4421_2877.jpg"
"Цифровой графический планшет WACOM One by Medium CTL672N, A5, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/9720 Сом/"/images/stories/virtuemart/product/1_3488_1055.jpg"
"Графический планшет Huion H1060P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254x158.8 мм. (11""х 6.875""), Чёрный"/11286 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Small CTL4100WLK0, A6, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/11682 Сом/"/images/stories/virtuemart/product/1_4521.jpg"
"Графический планшет XP-Pen Deco L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/11879 Сом/"/images/stories/virtuemart/product/1_3235_1392.jpg"
"Графический планшет Huion HS610, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254*158,8 мм. (10""x6,25""), Чёрный"/12217 Сом/"/images/stories/virtuemart/product/1_3621.jpg"
Цифровой графический планшет Wacom Intuos Small CTL4100WLE0, A6, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/13068 Сом/"/images/stories/virtuemart/product/1_3142.jpg"
"Графический планшет Huion H320M, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 279.4 х 174.6 мм. (10,2""x6,2""), Чёрный"/14664 Сом/"/images/yandex.png"
"Графический планшет Huion H1161, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB и USB-C, Рабочая область 279.4*174.6 мм. (11""х 6.875""), Чёрный"/14841 Сом/"/images/yandex.png"
Графический планшет Wacom Intuos Small Bluetooth (CTL-4100WLK-N), Разрешение 2540 lpi, Чувствительность к нажатию 4096, 4 программируемые клавиши, 2 клавиши на пере, Размер планшета 200*160*8,8 мм, Чёрный/14850 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Deco LW BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/15408 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLE-N, A5, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/15642 Сом/"/images/stories/virtuemart/product/1-desktop-nnctv8b_6004.jpg"
Графический планшет XP-Pen Deco Pro Small, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 230*130 мм., Серый/15647 Сом/"/images/stories/virtuemart/product/1_8217_5896.jpg"
"Графический планшет Huion HS611, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-С, Рабочая область 258,4*161,5 мм. (10,1""x6,35""), Серый"/16010 Сом/"/images/yandex.png"
Графический планшет XP-Pen Deco Pro Medium, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB Type-C, Рабочая область 279*157 мм., Серый/17775 Сом/"/images/stories/virtuemart/product/1_1110.jpg"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLK0, A5, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/18315 Сом/"/images/stories/virtuemart/product/1_4353.jpg"
"Графический планшет Huion Q11K V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 279,4*174,6 мм. (11""х6,875""), Чёрный"/22954 Сом/"/images/yandex.png"
"Графический планшет Huion WH1409 V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 350*238 мм. (13.8""х8.6""), Чёрный"/28214 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Star G430S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 4""х3"", Чёрный"/4803 Сом/"/images/stories/virtuemart/product/1_3541_7900.jpg"
"Графический планшет Huion H420, Разрешение 4000 lpi, Чувствительность к нажатию 2048, Интерфейс USB, Рабочая область 106*64,6 мм. (4,17""х2,23""), Чёрный"/5820 Сом/"/images/stories/virtuemart/product/1_1821_1315.jpg"
"Графический планшет XP-Pen Deco Fun S BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 6.3""х4"", Чёрный"/6332 Сом/"/images/stories/virtuemart/product/1_2085_8625.jpg"
"Цифровой графический планшет WACOM One by Small CTL472N, A6, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/7020 Сом/"/images/stories/virtuemart/product/1_8493_8870.jpg"
"Графический планшет XP-Pen Star G640S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 6""х3,75"", Чёрный"/7377 Сом/"/images/stories/virtuemart/product/1_6871.jpg"
"Графический планшет XP-Pen Deco Fun L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6.27"", Чёрный"/8366 Сом/"/images/yandex.png"
"Графический планшет Huion H950P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 221*138 мм. (8,7""х5,4""), Чёрный"/8750 Сом/"/images/stories/virtuemart/product/29075_1_8533.jpg"
"Графический планшет Huion HS64, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 160 x 102 мм. (6.3""х 4""), Чёрный"/8956 Сом/"/images/stories/virtuemart/product/1_4421_2877.jpg"
"Цифровой графический планшет WACOM One by Medium CTL672N, A5, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/9720 Сом/"/images/stories/virtuemart/product/1_3488_1055.jpg"
"Графический планшет Huion H1060P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254x158.8 мм. (11""х 6.875""), Чёрный"/11286 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Small CTL4100WLK0, A6, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/11682 Сом/"/images/stories/virtuemart/product/1_4521.jpg"
"Графический планшет XP-Pen Deco L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/11879 Сом/"/images/stories/virtuemart/product/1_3235_1392.jpg"
"Графический планшет Huion HS610, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254*158,8 мм. (10""x6,25""), Чёрный"/12217 Сом/"/images/stories/virtuemart/product/1_3621.jpg"
Цифровой графический планшет Wacom Intuos Small CTL4100WLE0, A6, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/13068 Сом/"/images/stories/virtuemart/product/1_3142.jpg"
"Графический планшет Huion H320M, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 279.4 х 174.6 мм. (10,2""x6,2""), Чёрный"/14664 Сом/"/images/yandex.png"
"Графический планшет Huion H1161, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB и USB-C, Рабочая область 279.4*174.6 мм. (11""х 6.875""), Чёрный"/14841 Сом/"/images/yandex.png"
Графический планшет Wacom Intuos Small Bluetooth (CTL-4100WLK-N), Разрешение 2540 lpi, Чувствительность к нажатию 4096, 4 программируемые клавиши, 2 клавиши на пере, Размер планшета 200*160*8,8 мм, Чёрный/14850 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Deco LW BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/15408 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLE-N, A5, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/15642 Сом/"/images/stories/virtuemart/product/1-desktop-nnctv8b_6004.jpg"
Графический планшет XP-Pen Deco Pro Small, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 230*130 мм., Серый/15647 Сом/"/images/stories/virtuemart/product/1_8217_5896.jpg"
"Графический планшет Huion HS611, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-С, Рабочая область 258,4*161,5 мм. (10,1""x6,35""), Серый"/16010 Сом/"/images/yandex.png"
Графический планшет XP-Pen Deco Pro Medium, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB Type-C, Рабочая область 279*157 мм., Серый/17775 Сом/"/images/stories/virtuemart/product/1_1110.jpg"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLK0, A5, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/18315 Сом/"/images/stories/virtuemart/product/1_4353.jpg"
"Графический планшет Huion Q11K V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 279,4*174,6 мм. (11""х6,875""), Чёрный"/22954 Сом/"/images/yandex.png"
"Графический планшет Huion WH1409 V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 350*238 мм. (13.8""х8.6""), Чёрный"/28214 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Star G430S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 4""х3"", Чёрный"/4803 Сом/"/images/stories/virtuemart/product/1_3541_7900.jpg"
"Графический планшет Huion H420, Разрешение 4000 lpi, Чувствительность к нажатию 2048, Интерфейс USB, Рабочая область 106*64,6 мм. (4,17""х2,23""), Чёрный"/5820 Сом/"/images/stories/virtuemart/product/1_1821_1315.jpg"
"Графический планшет XP-Pen Deco Fun S BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 6.3""х4"", Чёрный"/6332 Сом/"/images/stories/virtuemart/product/1_2085_8625.jpg"
"Цифровой графический планшет WACOM One by Small CTL472N, A6, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/7020 Сом/"/images/stories/virtuemart/product/1_8493_8870.jpg"
"Графический планшет XP-Pen Star G640S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 6""х3,75"", Чёрный"/7377 Сом/"/images/stories/virtuemart/product/1_6871.jpg"
"Графический планшет XP-Pen Deco Fun L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6.27"", Чёрный"/8366 Сом/"/images/yandex.png"
"Графический планшет Huion H950P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 221*138 мм. (8,7""х5,4""), Чёрный"/8750 Сом/"/images/stories/virtuemart/product/29075_1_8533.jpg"
"Графический планшет Huion HS64, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 160 x 102 мм. (6.3""х 4""), Чёрный"/8956 Сом/"/images/stories/virtuemart/product/1_4421_2877.jpg"
"Цифровой графический планшет WACOM One by Medium CTL672N, A5, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/9720 Сом/"/images/stories/virtuemart/product/1_3488_1055.jpg"
"Графический планшет Huion H1060P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254x158.8 мм. (11""х 6.875""), Чёрный"/11286 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Small CTL4100WLK0, A6, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/11682 Сом/"/images/stories/virtuemart/product/1_4521.jpg"
"Графический планшет XP-Pen Deco L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/11879 Сом/"/images/stories/virtuemart/product/1_3235_1392.jpg"
"Графический планшет Huion HS610, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254*158,8 мм. (10""x6,25""), Чёрный"/12217 Сом/"/images/stories/virtuemart/product/1_3621.jpg"
Цифровой графический планшет Wacom Intuos Small CTL4100WLE0, A6, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/13068 Сом/"/images/stories/virtuemart/product/1_3142.jpg"
"Графический планшет Huion H320M, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 279.4 х 174.6 мм. (10,2""x6,2""), Чёрный"/14664 Сом/"/images/yandex.png"
"Графический планшет Huion H1161, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB и USB-C, Рабочая область 279.4*174.6 мм. (11""х 6.875""), Чёрный"/14841 Сом/"/images/yandex.png"
Графический планшет Wacom Intuos Small Bluetooth (CTL-4100WLK-N), Разрешение 2540 lpi, Чувствительность к нажатию 4096, 4 программируемые клавиши, 2 клавиши на пере, Размер планшета 200*160*8,8 мм, Чёрный/14850 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Deco LW BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/15408 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLE-N, A5, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/15642 Сом/"/images/stories/virtuemart/product/1-desktop-nnctv8b_6004.jpg"
Графический планшет XP-Pen Deco Pro Small, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 230*130 мм., Серый/15647 Сом/"/images/stories/virtuemart/product/1_8217_5896.jpg"
"Графический планшет Huion HS611, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-С, Рабочая область 258,4*161,5 мм. (10,1""x6,35""), Серый"/16010 Сом/"/images/yandex.png"
Графический планшет XP-Pen Deco Pro Medium, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB Type-C, Рабочая область 279*157 мм., Серый/17775 Сом/"/images/stories/virtuemart/product/1_1110.jpg"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLK0, A5, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/18315 Сом/"/images/stories/virtuemart/product/1_4353.jpg"
"Графический планшет Huion Q11K V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 279,4*174,6 мм. (11""х6,875""), Чёрный"/22954 Сом/"/images/yandex.png"
"Графический планшет Huion WH1409 V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 350*238 мм. (13.8""х8.6""), Чёрный"/28214 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Star G430S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 4""х3"", Чёрный"/4803 Сом/"/images/stories/virtuemart/product/1_3541_7900.jpg"
"Графический планшет Huion H420, Разрешение 4000 lpi, Чувствительность к нажатию 2048, Интерфейс USB, Рабочая область 106*64,6 мм. (4,17""х2,23""), Чёрный"/5820 Сом/"/images/stories/virtuemart/product/1_1821_1315.jpg"
"Графический планшет XP-Pen Deco Fun S BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 6.3""х4"", Чёрный"/6332 Сом/"/images/stories/virtuemart/product/1_2085_8625.jpg"
"Цифровой графический планшет WACOM One by Small CTL472N, A6, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/7020 Сом/"/images/stories/virtuemart/product/1_8493_8870.jpg"
"Графический планшет XP-Pen Star G640S, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 6""х3,75"", Чёрный"/7377 Сом/"/images/stories/virtuemart/product/1_6871.jpg"
"Графический планшет XP-Pen Deco Fun L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6.27"", Чёрный"/8366 Сом/"/images/yandex.png"
"Графический планшет Huion H950P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 221*138 мм. (8,7""х5,4""), Чёрный"/8750 Сом/"/images/stories/virtuemart/product/29075_1_8533.jpg"
"Графический планшет Huion HS64, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 160 x 102 мм. (6.3""х 4""), Чёрный"/8956 Сом/"/images/stories/virtuemart/product/1_4421_2877.jpg"
"Цифровой графический планшет WACOM One by Medium CTL672N, A5, USB, 2048 Pressure Levels, Black/Red+Wacom Pen 2K (LP-190K)"/9720 Сом/"/images/stories/virtuemart/product/1_3488_1055.jpg"
"Графический планшет Huion H1060P, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254x158.8 мм. (11""х 6.875""), Чёрный"/11286 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Small CTL4100WLK0, A6, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/11682 Сом/"/images/stories/virtuemart/product/1_4521.jpg"
"Графический планшет XP-Pen Deco L BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/11879 Сом/"/images/stories/virtuemart/product/1_3235_1392.jpg"
"Графический планшет Huion HS610, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 254*158,8 мм. (10""x6,25""), Чёрный"/12217 Сом/"/images/stories/virtuemart/product/1_3621.jpg"
Цифровой графический планшет Wacom Intuos Small CTL4100WLE0, A6, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/13068 Сом/"/images/stories/virtuemart/product/1_3142.jpg"
"Графический планшет Huion H320M, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 279.4 х 174.6 мм. (10,2""x6,2""), Чёрный"/14664 Сом/"/images/yandex.png"
"Графический планшет Huion H1161, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB и USB-C, Рабочая область 279.4*174.6 мм. (11""х 6.875""), Чёрный"/14841 Сом/"/images/yandex.png"
Графический планшет Wacom Intuos Small Bluetooth (CTL-4100WLK-N), Разрешение 2540 lpi, Чувствительность к нажатию 4096, 4 программируемые клавиши, 2 клавиши на пере, Размер планшета 200*160*8,8 мм, Чёрный/14850 Сом/"/images/yandex.png"
"Графический планшет XP-Pen Deco LW BK, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-C, Рабочая область 10""х6"", Чёрный"/15408 Сом/"/images/yandex.png"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLE-N, A5, USB, Bluetooth, 4096 Pressure Levels, Pistachio Green+Wacom Pen 4K LP-1100K/15642 Сом/"/images/stories/virtuemart/product/1-desktop-nnctv8b_6004.jpg"
Графический планшет XP-Pen Deco Pro Small, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB, Рабочая область 230*130 мм., Серый/15647 Сом/"/images/stories/virtuemart/product/1_8217_5896.jpg"
"Графический планшет Huion HS611, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB-С, Рабочая область 258,4*161,5 мм. (10,1""x6,35""), Серый"/16010 Сом/"/images/yandex.png"
Графический планшет XP-Pen Deco Pro Medium, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс USB Type-C, Рабочая область 279*157 мм., Серый/17775 Сом/"/images/stories/virtuemart/product/1_1110.jpg"
Цифровой графический планшет Wacom Intuos Medium CTL6100WLK0, A5, USB, Bluetooth, 4096 Pressure Levels, Black+Wacom Pen 4K LP-1100K/18315 Сом/"/images/stories/virtuemart/product/1_4353.jpg"
"Графический планшет Huion Q11K V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 279,4*174,6 мм. (11""х6,875""), Чёрный"/22954 Сом/"/images/yandex.png"
"Графический планшет Huion WH1409 V2, Разрешение 5080 lpi, Чувствительность к нажатию 8192, Интерфейс беспроводной, Рабочая область 350*238 мм. (13.8""х8.6""), Чёрный"/28214 Сом/"/images/yandex.png"
